interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,10.43,2,15,-147702314#3,0,0,17,5.00,14.20,238.57,3.57,13.34,132.00
0.00,500.00,d2,0,2.45,0,14,-147702314#4,0,0,14,1.06,2.90,40.56,13.16,2.51,0.00
0.00,500.00,d2,1,2.68,0,15,-147702314#5,0,0,14,1.12,2.22,33.12,13.37,1.85,0.00
0.00,500.00,d2,0,2.73,0,16,-147702314#6,0,0,16,1.23,4.08,65.27,12.95,3.63,0.00
0.00,500.00,d2,0,2.85,0,16,-147702314#7,0,0,16,1.24,3.22,51.47,12.79,2.84,0.00
0.00,500.00,d2,1,16.18,0,20,-147702314#8,0,0,17,7.95,33.01,639.99,2.55,32.14,445.00
0.00,500.00,d2,0,3.20,0,19,-147702314#9,0,0,19,1.42,3.26,61.90,13.41,2.88,0.00
0.00,500.00,d2,0,1.04,0,4,-147702324#0,0,0,4,0.40,2.36,9.42,9.83,1.67,0.00
0.00,500.00,d2,0,0.65,0,4,-147702324#1,0,0,4,0.30,4.82,19.27,13.29,4.44,0.00
0.00,500.00,d2,0,1.15,0,5,-147702324#2,0,0,5,0.46,2.62,13.09,10.64,2.00,0.00
0.00,500.00,d2,0,1.04,0,5,-147702324#3,0,0,5,0.46,4.41,22.07,10.75,4.04,0.00
0.00,500.00,d2,0,4.18,0,35,-147702329#0,6,6,34,0.99,6.46,220.44,17.08,6.25,0.00
0.00,500.00,d2,0,13.57,0,36,-147702329#1,0,0,35,1.94,1.34,47.02,8.92,0.83,0.00
0.00,500.00,d2,0,1.23,2,3,-147702341#0,0,0,5,0.59,18.88,93.19,8.31,17.86,10.00
0.00,500.00,d2,0,2.75,0,3,-147702341#1,0,0,3,0.35,0.77,2.31,8.68,0.21,0.00
